"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3PM4cZMctdMliKHEFLXgLH","Ochame Kinou/Fukkireta (Jerk)","spotify:artist:6htJaSnTyDhTxzwOhgEWss","zandsu","spotify:album:6g2P3DfVxlPyP6mfHl8vbP","Ochame Kinou/Fukkireta (Jerk)","spotify:artist:6htJaSnTyDhTxzwOhgEWss","zandsu","2024-02-03","https://i.scdn.co/image/ab67616d0000b273bf955dafc73ae4a7a8f883b6","1","1","90558","https://p.scdn.co/mp3-preview/6c224156aa86ac4dd13f564285057453f39fb324?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZDA62437641","spotify:user:andreivillaro","2025-01-18T23:04:10Z"
"spotify:track:7ik8ly4ji6rkL5kKZT1WNs","おちゃめ機能","spotify:artist:4hUWwJ0fRLx9rYtUvT26Ii","P丸様｡","spotify:album:0ZiGyLRfqs3cpvOZhKChpT","おちゃめ機能","spotify:artist:4hUWwJ0fRLx9rYtUvT26Ii","P丸様｡","2022-08-31","https://i.scdn.co/image/ab67616d0000b2731401eaef11dbde042ab91f28","1","1","248253","","false","38","JPPO02202928","spotify:user:andreivillaro","2025-01-20T22:16:36Z"
"spotify:track:1dHVuQPNmn5rhRgOdD0WlF","Confessions of a Rotten Girl","spotify:artist:7FrCrchJaoLmKcn3jcGWoX","SAWTOWNE","spotify:album:6eaUMgU5URwsLllOml5Iwn","Confessions of a Rotten Girl","spotify:artist:7FrCrchJaoLmKcn3jcGWoX","SAWTOWNE","2025-01-19","https://i.scdn.co/image/ab67616d0000b27368bf1aacc270752b0fadbd3f","1","1","206117","https://p.scdn.co/mp3-preview/12e82bacbb81643defa218c8445b04478c88bad8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","QZFZ62518097","spotify:user:andreivillaro","2025-01-22T01:12:05Z"
"spotify:track:4D4z7G3EAv9EK13cxaqvqp","Confessions of a Rotten Girl - Off Vocal","spotify:artist:7FrCrchJaoLmKcn3jcGWoX","SAWTOWNE","spotify:album:6eaUMgU5URwsLllOml5Iwn","Confessions of a Rotten Girl","spotify:artist:7FrCrchJaoLmKcn3jcGWoX","SAWTOWNE","2025-01-19","https://i.scdn.co/image/ab67616d0000b27368bf1aacc270752b0fadbd3f","1","2","206117","https://p.scdn.co/mp3-preview/c48d02e1ee1c714b5048be59bce83ef07824efa8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZFZ62518098","spotify:user:andreivillaro","2025-01-22T01:12:08Z"
"spotify:track:2EIuXYmjmbw301hj9zaxmx","Stronger Than You - Chara Version","spotify:artist:2jEQieG2ymgX7XrTSDGzXi","XanduIsBored","spotify:album:3OMpKh2WIUFdfgUfXUvhXu","Stronger Than You Trilogy","spotify:artist:2jEQieG2ymgX7XrTSDGzXi","XanduIsBored","2017-05-03","https://i.scdn.co/image/ab67616d0000b2736a40ef7fae418977f90bf54c","1","1","178248","https://p.scdn.co/mp3-preview/aae15c204e81028013b7467659b4c4f1a7bb28a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QMPKX1757123","spotify:user:andreivillaro","2025-01-23T00:35:53Z"
"spotify:track:5TC7mEjQzD2Q3Mr2rySOp7","Stronger Than You - Frisk Version","spotify:artist:2jEQieG2ymgX7XrTSDGzXi, spotify:artist:6X6OukpQx7CnKLJ9CgBeM9","XanduIsBored, Mom0ki","spotify:album:3OMpKh2WIUFdfgUfXUvhXu","Stronger Than You Trilogy","spotify:artist:2jEQieG2ymgX7XrTSDGzXi","XanduIsBored","2017-05-03","https://i.scdn.co/image/ab67616d0000b2736a40ef7fae418977f90bf54c","1","3","207311","https://p.scdn.co/mp3-preview/2d3dea3c7bea5fb8b50aa4cfcdc9f24a53b77b2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","QMPKX1757125","spotify:user:andreivillaro","2025-01-23T00:36:04Z"
"spotify:track:0z3YYobsavHguLTgqg5GC1","Picture in My Mind","spotify:artist:78rUTD7y6Cy67W1RVzYs7t, spotify:artist:07UJz804RJxqNvxFXC3h9H","PinkPantheress, Sam Gellaitry","spotify:album:744TnMqUCSGWPa17iii3LU","Picture in my mind","spotify:artist:78rUTD7y6Cy67W1RVzYs7t, spotify:artist:07UJz804RJxqNvxFXC3h9H","PinkPantheress, Sam Gellaitry","2022-08-10","https://i.scdn.co/image/ab67616d0000b273d3ad6b2e330bc3e5891ca4a9","1","1","176930","https://p.scdn.co/mp3-preview/477ec090475df2412789105874811abfbb7997c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYE2200594","spotify:user:andreivillaro","2025-01-23T14:56:59Z"
"spotify:track:4uUjh3BvflHO4GE9SYfLDZ","Mesmerizer - English Ver.","spotify:artist:0XIRulaFqB2oBL0c6blec9, spotify:artist:304g0c1IvTZjo2V19MSTiG","razaplays, Artsythesecond","spotify:album:4vYL8Ydypi2ENmbHrZdVu6","BREAKING SIGNALS","spotify:artist:0XIRulaFqB2oBL0c6blec9","razaplays","2024-08-18","https://i.scdn.co/image/ab67616d0000b273dfa7aa57a37beb6bf3abcc20","1","1","156983","https://p.scdn.co/mp3-preview/c800f7708271b42d2ff2684996a11b6bc5618623?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GX5MX2440237","spotify:user:andreivillaro","2025-01-31T00:22:53Z"
"spotify:track:3WattXYKPa1N4sDqTvSrLS","ABC (feat. Sophia Black)","spotify:artist:4vGrte8FDu062Ntj0RsPiZ, spotify:artist:3wdXgSpjbbU3tX9KasdxMh","Polyphia, Sophia Black","spotify:album:3cN3mENkACWuRCDOuQUtfw","Remember That You Will Die","spotify:artist:4vGrte8FDu062Ntj0RsPiZ","Polyphia","2022-10-28","https://i.scdn.co/image/ab67616d0000b273a2d8391f5021568d253a4eef","1","5","152361","https://p.scdn.co/mp3-preview/6c84a8c8af29e487bb717a470a12a2671e52c558?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","QMRSZ2200023","spotify:user:andreivillaro","2025-02-03T14:53:54Z"
"spotify:track:6cjSh516BbrNUs213jDAGm","Graduation (with Juice WRLD)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","benny blanco, Juice WRLD","spotify:album:669dgT2kmrAMrrPaEEHWyE","Graduation (with Juice WRLD)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","benny blanco, Juice WRLD","2019-08-30","https://i.scdn.co/image/ab67616d0000b2739e714501730245ec76623000","1","1","177847","","true","62","USUM71916692","spotify:user:andreivillaro","2025-02-10T01:39:51Z"
"spotify:track:6HJdq6gSUeCjf3uDQjO7Ff","UNIMPRESSED!","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","spotify:album:3liUmEk6naxdab37MHNA9D","UNIMPRESSED!","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","2025-02-10","https://i.scdn.co/image/ab67616d0000b27339a388315499c8568f08c4bc","1","1","104424","https://p.scdn.co/mp3-preview/1edd3ffa5ade905b992c92fb20eb51060c6032b1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","QZPEW2561643","spotify:user:andreivillaro","2025-02-11T19:41:59Z"
"spotify:track:3bb8SsTSK7YuIUYkG20OSK","Moonlightspeed","spotify:artist:60lgIOOISxGcxyjX4GJeii","Midnight Grand Orchestra","spotify:album:4P0fK06vdodkHhWHdmY7ar","Starpeggio","spotify:artist:60lgIOOISxGcxyjX4GJeii","Midnight Grand Orchestra","2023-12-13","https://i.scdn.co/image/ab67616d0000b273164c6abcca3a8a18e210eee7","1","2","193674","https://p.scdn.co/mp3-preview/f8a072f3e72a948cbbb5a3aa3e09e75292107c2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","JPTF02221201","spotify:user:andreivillaro","2025-02-14T05:36:31Z"
"spotify:track:20OWXyuRI4Dt1S2JCdajEh","Honestly","spotify:artist:0lqcP7gTyHsPEGyUSUV5g3, spotify:artist:4JX0GdKx8EduY2Ck7qac4H","THØRNS, Kasane Teto","spotify:album:1EtThAdOqCsyrVa9d1PeAV","Honestly","spotify:artist:0lqcP7gTyHsPEGyUSUV5g3","THØRNS","2024-12-22","https://i.scdn.co/image/ab67616d0000b27340a96de45049b6714636ef2d","1","1","217572","https://p.scdn.co/mp3-preview/b8e2433674ea804d8500b8f1f35aa7607a216e67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","QZZ7X2444175","spotify:user:andreivillaro","2025-02-14T21:18:53Z"
"spotify:track:3vrPN1KekJACn6qZvB801V","視線を奪って! (STEAL THE GAZE!)","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","spotify:album:3ktofpMSjKuAVASMZ4OQES","視線を奪って! (STEAL THE GAZE!)","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","2024-12-27","https://i.scdn.co/image/ab67616d0000b2737443f9833457b25ad83a6316","1","1","100157","https://p.scdn.co/mp3-preview/6b29d89fcd99bdd335c3919cdb060af528285377?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZPEW2512852","spotify:user:andreivillaro","2025-02-18T04:58:32Z"
"spotify:track:5tqZJUHEuqdN12RZVq2l9p","Hold On","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:27ThgFMUAx3MXLQ297DzWF","Hive Mind","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2018-07-20","https://i.scdn.co/image/ab67616d0000b273d70cf89509b2621114edf144","1","13","406432","https://p.scdn.co/mp3-preview/51cfde7b1a21f00baf09f9d97862c1a749cd9cc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USSM11804490","spotify:user:andreivillaro","2025-02-20T15:16:43Z"
"spotify:track:1JdKrFyoU05abww0Zv0ayQ","That's What You Get","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","spotify:album:71rziY9eLo1tA2dBMxrwhc","Riot!","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","2007-06-12","https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb","1","2","220480","https://p.scdn.co/mp3-preview/645937c1de8d7e3f5cc26c87fb2f0a6aff1d9cc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USAT20702601","spotify:user:andreivillaro","2025-02-27T05:17:16Z"
"spotify:track:2zZETd07vIYodO4lFdoljf","LUNAR ROT","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","spotify:album:7ff9affdXI0KfFuRciwWer","LUNAR ROT","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","2025-02-28","https://i.scdn.co/image/ab67616d0000b273d1f3813d9acfe50dd6606b74","1","1","115785","https://p.scdn.co/mp3-preview/c2db6b1a2daaa201d3136bf2c44781e93362ca6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZPEW2593758","spotify:user:andreivillaro","2025-03-01T00:20:14Z"
"spotify:track:7ghKr0pCYyPPyp7t1FH8k4","Les","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:01MRGgNbfWrE291tQjw9ta","Camp","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2011-11-15","https://i.scdn.co/image/ab67616d0000b2736182cfe2e2a090d125c81dc0","1","8","317293","https://p.scdn.co/mp3-preview/4ecc9d1562c2626d17aefe7f927e028ab48bfb0b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","88","USYAH1100353","spotify:user:andreivillaro","2025-03-05T04:03:06Z"
"spotify:track:6BbG6krLjxYmkqFqrxJ99f","JUST ME!","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","spotify:album:5QehyjULJXpxyaYkeUsw94","JUST ME!","spotify:artist:79NIVAOefeJgwo0QIIZ9t2","ZØMB","2025-03-05","https://i.scdn.co/image/ab67616d0000b273a7e3bf1fb81b1793ae4812dd","1","1","113116","https://p.scdn.co/mp3-preview/b3c9e01c1d0fb20dd261e829228e4361e2c6bf9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QT2VB2507604","spotify:user:andreivillaro","2025-03-05T21:43:42Z"
"spotify:track:6KYOlIwDHbrbeBbJEtQ0Fj","オトノケ - Otonoke","spotify:artist:0pWR7TsFhvSCnbmHDjWgrE","Creepy Nuts","spotify:album:7zI1wDJmkfHMBwZpbwJn8H","オトノケ - Otonoke","spotify:artist:0pWR7TsFhvSCnbmHDjWgrE","Creepy Nuts","2024-10-04","https://i.scdn.co/image/ab67616d0000b2731596b18678ae04bd27f85f41","1","1","185626","https://p.scdn.co/mp3-preview/6f330ef353be572cf5dd9abe3718f2fc3bfb49b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","JPU902402594","spotify:user:andreivillaro","2025-03-07T18:55:08Z"
"spotify:track:63Pi2NAx5yCgeLhCTOrEou","Headlock","spotify:artist:6Xb4ezwoAQC4516kI89nWz","Imogen Heap","spotify:album:5DuihGAcuJdwyktx3EmncM","Speak for Yourself (Deluxe Version)","spotify:artist:6Xb4ezwoAQC4516kI89nWz","Imogen Heap","2005","https://i.scdn.co/image/ab67616d0000b2730cabafb8b01b956fae313c57","1","1","215338","https://p.scdn.co/mp3-preview/33f6038e34c60b314e56bd5f115da7d277122bea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBJPX0500001","spotify:user:andreivillaro","2025-03-12T04:17:30Z"
"spotify:track:74muMkVdMYoR65lhmdzy13","Day 1","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","spotify:album:6YL9J0E6PGtYzkhyMxnmXd","The Red - The 1st Album","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","2015-09-09","https://i.scdn.co/image/ab67616d0000b27371a70331062453ece06f8b79","1","9","206357","https://p.scdn.co/mp3-preview/4b9aeddc2d92f456ac0c6b0348e578324b622ae9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","KRA301500446","spotify:user:andreivillaro","2025-03-13T19:55:43Z"
"spotify:track:74X2u8JMVooG2QbjRxXwR8","Perfect Night","spotify:artist:4SpbR6yFEvexJuaBpgAU5p","LE SSERAFIM","spotify:album:6Msc3BwzKZ5f5FXmKuUSu6","Perfect Night","spotify:artist:4SpbR6yFEvexJuaBpgAU5p","LE SSERAFIM","2023-10-27","https://i.scdn.co/image/ab67616d0000b273c9af8979e5cb3fe7ecc5e230","1","1","159080","https://p.scdn.co/mp3-preview/4e84e2dc9edab896f88263c634e88f39a6db61e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USA2P2349660","spotify:user:andreivillaro","2025-03-14T04:22:39Z"
